B,R,c,method,risk
10,2,1,DR,0.38655078
10,2,1,ACW,0.491633843
10,2,1,COKE,0.172100706
10,2,1,SR,0.32561057
10,2,1,DR,0.29041289
10,2,1,ACW,0.389270637
10,2,1,COKE,0.174485431
10,2,1,SR,0.23583487
10,2,1,DR,0.228631141
10,2,1,ACW,1.125999148
10,2,1,COKE,0.141558364
10,2,1,SR,0.33794093
10,2,1,DR,0.428387949
10,2,1,ACW,0.48199923
10,2,1,COKE,0.179940609
10,2,1,SR,0.36645385
10,2,1,DR,0.193164206
10,2,1,ACW,0.176693846
10,2,1,COKE,0.1817289
10,2,1,SR,0.470513595
10,2,1,DR,0.398873936
10,2,1,ACW,3.512813821
10,2,1,COKE,0.183454445
10,2,1,SR,0.438348444
10,2,1,DR,0.237032282
10,2,1,ACW,0.325643844
10,2,1,COKE,0.167455438
10,2,1,SR,0.414730081
10,2,1,DR,0.22570604
10,2,1,ACW,0.333050304
10,2,1,COKE,0.121705456
10,2,1,SR,0.359398961
10,2,1,DR,0.292310924
10,2,1,ACW,9.235423804
10,2,1,COKE,0.164516169
10,2,1,SR,0.467183752
10,2,1,DR,0.267185498
10,2,1,ACW,0.379359746
10,2,1,COKE,0.146885729
10,2,1,SR,0.440755253
10,2,1,DR,0.249001164
10,2,1,ACW,0.951115512
10,2,1,COKE,0.204383476
10,2,1,SR,0.346266062
10,2,1,DR,0.156130088
10,2,1,ACW,0.765616454
10,2,1,COKE,0.153695825
10,2,1,SR,0.233176481
10,2,1,DR,0.294881939
10,2,1,ACW,1.197983386
10,2,1,COKE,0.143066733
10,2,1,SR,0.486174883
10,2,1,DR,0.182671547
10,2,1,ACW,2.871075887
10,2,1,COKE,0.198345704
10,2,1,SR,0.319128434
10,2,1,DR,0.413510926
10,2,1,ACW,0.402782435
10,2,1,COKE,0.157941309
10,2,1,SR,0.458358011
10,2,1,DR,0.35427994
10,2,1,ACW,0.60626754
10,2,1,COKE,0.142846615
10,2,1,SR,0.297538755
10,2,1,DR,0.284045004
10,2,1,ACW,0.351149094
10,2,1,COKE,0.147968723
10,2,1,SR,0.357131944
10,2,1,DR,0.241231919
10,2,1,ACW,0.686188992
10,2,1,COKE,0.132340988
10,2,1,SR,0.453185868
10,2,1,DR,0.322090288
10,2,1,ACW,0.461762873
10,2,1,COKE,0.172144027
10,2,1,SR,0.546479208
10,2,1,DR,0.216629746
10,2,1,ACW,0.254771999
10,2,1,COKE,0.170613922
10,2,1,SR,0.471170368
10,2,1,DR,0.281648793
10,2,1,ACW,0.294272389
10,2,1,COKE,0.228780862
10,2,1,SR,0.438132494
10,2,1,DR,0.180663945
10,2,1,ACW,18.33756239
10,2,1,COKE,0.19042614
10,2,1,SR,0.258834082
10,2,1,DR,0.252194683
10,2,1,ACW,0.423023545
10,2,1,COKE,0.150585507
10,2,1,SR,0.464085832
10,2,1,DR,0.175920456
10,2,1,ACW,17.93747686
10,2,1,COKE,0.147235602
10,2,1,SR,0.338766461
10,2,1,DR,0.280675656
10,2,1,ACW,0.790462547
10,2,1,COKE,0.183591373
10,2,1,SR,0.365403826
10,2,1,DR,0.275394628
