B,type,risk
5,perm1,0.24441898065138462
5,perm2,0.25297871938248223
5,all,0.22011061865831216
5,perm1,0.16648621900311303
5,perm2,0.22661369344387486
5,all,0.17329379515128085
5,perm1,0.17712219905483667
5,perm2,0.1657595685074209
5,all,0.14626612908274386
5,perm1,0.18522775378360798
5,perm2,0.14560928007033805
5,all,0.1448686967686173
5,perm1,0.15885329993735134
5,perm2,0.171058516725888
5,all,0.13699796815264084
5,perm1,0.17874351111809447
5,perm2,0.1683645435233187
5,all,0.15102537309166555
5,perm1,0.1835682895470583
5,perm2,0.17615083086497976
5,all,0.16131624129715363
5,perm1,0.17219831539866653
5,perm2,0.21046944603041656
5,all,0.16598061721937493
5,perm1,0.1722619226051514
5,perm2,0.2030339477915258
5,all,0.16083628761807656
5,perm1,0.16788917207653423
5,perm2,0.15140955964643318
5,all,0.13179665216887107
5,perm1,0.17717628876924352
5,perm2,0.2033415021639899
5,all,0.16292620408613176
5,perm1,0.17422991549777686
5,perm2,0.1540517602098735
5,all,0.13268498359084718
5,perm1,0.19151162051848328
5,perm2,0.13831704684512508
5,all,0.13741979554502082
5,perm1,0.16454179249874396
5,perm2,0.15821865487262662
5,all,0.1375770232458256
5,perm1,0.1285482270667911
5,perm2,0.18096136500978866
5,all,0.12916147095242356
5,perm1,0.15542998176916317
5,perm2,0.16602083334399367
5,all,0.14155786819524344
5,perm1,0.16056180731894074
5,perm2,0.13991527196308964
5,all,0.12941962284941624
5,perm1,0.2117896431285847
5,perm2,0.16566380517753823
5,all,0.16395628177547464
5,perm1,0.16870201085808495
5,perm2,0.19955091598064292
5,all,0.1609418428532061
5,perm1,0.14586653537573094
5,perm2,0.15409662319566209
5,all,0.13431369083647968
5,perm1,0.18186448734184119
5,perm2,0.15574630242159115
5,all,0.14436085042669566
5,perm1,0.17509821186101646
5,perm2,0.16117194258031356
5,all,0.14432900253626685
5,perm1,0.13205222545190737
5,perm2,0.14012217804905314
5,all,0.11657591557951921
5,perm1,0.18163225279908557
5,perm2,0.24059247644617518
5,all,0.17643777343869083
5,perm1,0.14646401627791467
5,perm2,0.13324950878018388
5,all,0.11051151454959718
5,perm1,0.21772767070413698
5,perm2,0.20615070609885897
5,all,0.1733820152965174
5,perm1,0.18419301259522627
5,perm2,0.15741144262976053
5,all,0.14433751866830052
5,perm1,0.13121039513633462
5,perm2,0.12325890706580812
5,all,0.10800570084349656
5,perm1,0.148148066419057
5,perm2,0.16761502519027907
5,all,0.13935776709425363
5,perm1,0.20952247772382934
5,perm2,0.18861563664120673
5,all,0.1804661768701735
5,perm1,0.15580492732000592
5,perm2,0.1732846257725125
5,all,0.14527394400357801
5,perm1,0.17106904812808318
5,perm2,0.1406724022018314
5,all,0.13822064258098002
5,perm1,0.18308875366071592
5,perm2,0.1693200644535209
5,all,0.15596445148198235
5,perm1,0.13946148211193407
5,perm2,0.1429378483250748
5,all,0.12290863649698265
5,perm1,0.20938363521333622
5,perm2,0.18308587222348002
5,all,0.17748001485911336
5,perm1,0.12962347660378837
5,perm2,0.12970669797815468
5,all,0.11416784172308446
5,perm1,0.14596004848241015
5,perm2,0.1693317914249255
5,all,0.1343612388897256
5,perm1,0.12126638548430368
5,perm2,0.15269926134012626
5,all,0.1146125326964343
5,perm1,0.24668702740154513
5,perm2,0.1705932950447107
5,all,0.17384511702726319
5,perm1,0.21288915446121282
5,perm2,0.23823650620089884
5,all,0.19990313504437385
5,perm1,0.15687683312752385
5,perm2,0.16703951492225508
5,all,0.13938613378694267
5,perm1,0.12174626692699574
5,perm2,0.1739615911826481
5,all,0.12336139681597978
5,perm1,0.18397371260643552
5,perm2,0.1387121936689857
5,all,0.13154010459259122
5,perm1,0.1966048621650122
5,perm2,0.23176310864619162
5,all,0.1773789390915077
5,perm1,0.1709097648122323
5,perm2,0.16722990287063158
5,all,0.14497799075172224
5,perm1,0.1938189542678216
5,perm2,0.20557049871639024
5,all,0.17243594378294144
5,perm1,0.16316344509121847
5,perm2,0.2365031910019442
5,all,0.1779002117271996
5,perm1,0.16095285416031394
5,perm2,0.16759709914690787
5,all,0.14633370052205671
5,perm1,0.1403167650258601
5,perm2,0.18988806043340367
5,all,0.14789613824087028
5,perm1,0.24394256379377008
5,perm2,0.2068533244351481
5,all,0.19169887642832809
5,perm1,0.17558497036720877
5,perm2,0.14241724881315238
5,all,0.1424153009741115
5,perm1,0.1907913130386256
5,perm2,0.18773903420476096
5,all,0.1598692646313702
5,perm1,0.15918781467116286
5,perm2,0.1757436819037925
5,all,0.14677773336604436
5,perm1,0.15097936183373253
5,perm2,0.14004997283930998
5,all,0.12999252577221104
5,perm1,0.13817076787065513
5,perm2,0.15099986704095744
5,all,0.12801195505770235
5,perm1,0.17100491891843966
5,perm2,0.1436841681801812
5,all,0.14183969683386866
5,perm1,0.15905218052664344
5,perm2,0.18063398826988436
5,all,0.14473289035294826
5,perm1,0.1529107152615181
5,perm2,0.163989794039659
5,all,0.13445026922223186
5,perm1,0.1865727773085552
5,perm2,0.24120820637868437
5,all,0.18033381379534535
5,perm1,0.14436428042468044
5,perm2,0.2073388007537029
5,all,0.15193658123315812
10,perm1,0.22535593778824253
10,perm2,0.17198229420205952
10,all,0.16953056109863757
10,perm1,0.2839441740917639
10,perm2,0.21459897749259094
10,all,0.22195935961157234
10,perm1,0.2120839350960216
10,perm2,0.19505064325055832
10,all,0.18266860375152455
10,perm1,0.22492951116713747
10,perm2,0.22156036325671977
10,all,0.18525506181015608
10,perm1,0.15267284222077934
10,perm2,0.2225557122806705
10,all,0.15681972613906991
10,perm1,0.19411922571816473
10,perm2,0.13943353575264164
10,all,0.1412333813030572
10,perm1,0.19886557606045016
10,perm2,0.2896022753527136
10,all,0.20630322523934774
10,perm1,0.2316474992505442
10,perm2,0.22702349901401658
10,all,0.19402864396742783
10,perm1,0.16835009934393547
10,perm2,0.19401065012511157
10,all,0.15039707480088413
10,perm1,0.20387303475010476
10,perm2,0.2415277056877102
10,all,0.19017501137802909
10,perm1,0.18300347332918354
10,perm2,0.10865586488946792
10,all,0.12375642234468151
10,perm1,0.16192927154047965
10,perm2,0.21862350694398888
10,all,0.166646013036578
10,perm1,0.14564530053646726
10,perm2,0.16380818789290005
10,all,0.1342353572908994
10,perm1,0.18920516727957432
10,perm2,0.1634676887631245
10,all,0.14288154344267956
10,perm1,0.26099836069790605
10,perm2,0.19382073782290782
10,all,0.20265129112065008
10,perm1,0.18450097276040567
10,perm2,0.1696213244681253
10,all,0.15029739711200021
10,perm1,0.2189628631052984
10,perm2,0.19146583480118312
10,all,0.1798592376469108
10,perm1,0.2262750989712106
10,perm2,0.22602540224880135
10,all,0.18713793196069659
10,perm1,0.14613629736066008
10,perm2,0.18882762803981387
10,all,0.14560951779818598
10,perm1,0.2086437795948289
10,perm2,0.21396922296774765
10,all,0.18146785413574396
10,perm1,0.2686071875075103
10,perm2,0.195591388905764
10,all,0.19576314521123914
10,perm1,0.16595617669158105
10,perm2,0.31784883159043403
10,all,0.20781722889729887
10,perm1,0.18619924027280782
10,perm2,0.17194504839521918
10,all,0.15028744739869462
10,perm1,0.15565700943166227
10,perm2,0.18023397761400067
10,all,0.14759588753327357
10,perm1,0.3476718276450951
10,perm2,0.29537150500711107
10,all,0.2865695921179243
10,perm1,0.2248441818022179
10,perm2,0.21428797538852218
10,all,0.19364768564312915
10,perm1,0.17217105478898956
10,perm2,0.23490392037895416
10,all,0.17503295696767782
10,perm1,0.2225608754041512
10,perm2,0.18453447317781918
10,all,0.1702503171566214
10,perm1,0.21346159743212928
10,perm2,0.22090077388040508
10,all,0.19186949384559862
10,perm1,0.18041486936161094
10,perm2,0.1682388434342068
10,all,0.1478205332903399
10,perm1,0.20164482152952873
10,perm2,0.1913170919838276
10,all,0.17109141870590228
10,perm1,0.15033466919675717
10,perm2,0.201248511495095
10,all,0.15758341567871056
10,perm1,0.2572848900550033
10,perm2,0.21379822617592445
10,all,0.20376146739284706
10,perm1,0.12023938328246302
10,perm2,0.16588226942360954
10,all,0.12158212613571281
10,perm1,0.286684211882652
10,perm2,0.3472544653952993
10,all,0.2818486233240079
10,perm1,0.12717701311763965
10,perm2,0.15397967780686148
10,all,0.12189269250314516
10,perm1,0.18781002058484114
10,perm2,0.15625872604564223
10,all,0.14243064790074206
10,perm1,0.18928609782267694
10,perm2,0.20567476378419405
10,all,0.16571226650329093
10,perm1,0.23588720388886755
10,perm2,0.1858666880593824
10,all,0.1807150383941028
10,perm1,0.268665689669
10,perm2,0.13224448609597908
10,all,0.16243213032102982
10,perm1,0.18874675128775056
10,perm2,0.15335172627986726
10,all,0.13440786066113392
10,perm1,0.19526450650959698
10,perm2,0.19204194201442326
10,all,0.171050468248382
10,perm1,0.24741540810185078
10,perm2,0.2055859625049317
10,all,0.2020289735571499
10,perm1,0.281359775714839
10,perm2,0.2344415516512042
10,all,0.2238907269867118
10,perm1,0.152707565276373
10,perm2,0.18208151846724244
10,all,0.14028361940125386
10,perm1,0.1933046643718495
10,perm2,0.15516853167410824
10,all,0.15276749542087228
10,perm1,0.17906762808544927
10,perm2,0.22874088682575403
10,all,0.18346586904903506
10,perm1,0.1460682836740712
10,perm2,0.1521174488937168
10,all,0.13020405869267312
10,perm1,0.187155066529442
10,perm2,0.16359408122942082
10,all,0.1577894497212975
10,perm1,0.17892347775997056
10,perm2,0.24241020809827565
10,all,0.1836496367835158
10,perm1,0.21859660151294674
10,perm2,0.13958022326000571
10,all,0.1411930774305911
10,perm1,0.15508662871071582
10,perm2,0.20511014820029577
10,all,0.15184744970857833
10,perm1,0.1816481282500644
10,perm2,0.240717070968815
10,all,0.17945384072645035
10,perm1,0.1458627186857154
10,perm2,0.1772492524124419
10,all,0.1370877418312622
10,perm1,0.19609024681150872
10,perm2,0.24284718044052833
10,all,0.18666020988295506
10,perm1,0.24055345230508382
10,perm2,0.24742062771040538
10,all,0.21220850806466018
10,perm1,0.20658894233873024
10,perm2,0.2673037202553681
10,all,0.20130565966454486
10,perm1,0.16933367526194926
10,perm2,0.23355546353267373
10,all,0.17474598687532875
10,perm1,0.1612230092361911
10,perm2,0.13982764092321073
10,all,0.11859446788003981
10,perm1,0.22131216993000527
10,perm2,0.24500488960588013
10,all,0.19818555540222493
10,perm1,0.1614552183989083
10,perm2,0.18850099811556634
10,all,0.1515434661421586
10,perm1,0.18326555042037204
10,perm2,0.25919557382243413
10,all,0.19352523523663118
10,perm1,0.19001094119095918
10,perm2,0.19929634330480517
10,all,0.16130644256549603
10,perm1,0.15299058794422757
10,perm2,0.1661349141308964
10,all,0.13936106869620685
10,perm1,0.2607566604675447
10,perm2,0.20872804123596098
10,all,0.2101512117464675
10,perm1,0.22626932362130364
10,perm2,0.1962355268188291
10,all,0.1856846497409005
10,perm1,0.17182498489343548
10,perm2,0.18355418661707262
10,all,0.14976440030563135
10,perm1,0.1731934667404534
10,perm2,0.19107052495044746
10,all,0.15855710221145317
10,perm1,0.1932133560251613
10,perm2,0.1625442611071705
10,all,0.14835020484024122
10,perm1,0.18078330841312668
10,perm2,0.20125714850850587
10,all,0.15321493277208859
10,perm1,0.2045754015937532
10,perm2,0.2942789232645134
10,all,0.20695996654093296
10,perm1,0.2767889501192782
10,perm2,0.2577463422679343
10,all,0.23497800990823098
10,perm1,0.256215904789864
10,perm2,0.2245024609100026
10,all,0.21849601249035677
10,perm1,0.20023530344399507
10,perm2,0.16398162996883495
10,all,0.15380110117138898
10,perm1,0.2080859686301576
10,perm2,0.1560484838073136
10,all,0.14896062043305242
10,perm1,0.2163826247069015
10,perm2,0.16046003888278196
10,all,0.17133471312607862
10,perm1,0.18500266329805004
10,perm2,0.19755410673852944
10,all,0.16331232611801544
10,perm1,0.19128395546285892
10,perm2,0.23977058422681566
10,all,0.18121329592520138
10,perm1,0.2218137922514722
10,perm2,0.14899143401435166
10,all,0.16182133361151171
10,perm1,0.23775716397534621
10,perm2,0.1960376349760041
10,all,0.19504267923952873
10,perm1,0.20309906411698672
10,perm2,0.24008091533626225
10,all,0.19009127496727785
10,perm1,0.17568561553843814
10,perm2,0.10922681408139193
10,all,0.12529471297141848
10,perm1,0.19705444391372634
10,perm2,0.23579713808345604
10,all,0.1869923834948291
10,perm1,0.19019241588172192
10,perm2,0.175891537134518
10,all,0.16124811343683787
10,perm1,0.24994759667522684
10,perm2,0.21699680918637204
10,all,0.20865746438530258
10,perm1,0.19681015624870005
10,perm2,0.1928259720995814
10,all,0.16307798794734552
10,perm1,0.19305915450662342
10,perm2,0.15964116634929837
10,all,0.15573529046617174
10,perm1,0.22055275807554953
10,perm2,0.24130409632198374
10,all,0.19810264295990584
10,perm1,0.20513634134904873
10,perm2,0.2106800485941776
10,all,0.1828672335222116
10,perm1,0.21111750770345453
10,perm2,0.2792437452144656
10,all,0.2120969902284637
10,perm1,0.19422838238221374
10,perm2,0.1825729841958088
10,all,0.1616226055198726
10,perm1,0.18465722602762588
10,perm2,0.1548138415686321
10,all,0.13299301545654765
10,perm1,0.18018317072135331
10,perm2,0.19958788246271045
10,all,0.15802251677660084
10,perm1,0.18549901650014844
10,perm2,0.1806827895776245
10,all,0.15958987371747868
10,perm1,0.1822576617388931
10,perm2,0.15700536925778483
10,all,0.14292094125748392
10,perm1,0.16479277961896543
10,perm2,0.17290432280071644
10,all,0.13958554381452035
10,perm1,0.2187831214835246
10,perm2,0.18765596889760508
10,all,0.17521465038278383
10,perm1,0.25938408128801926
10,perm2,0.17055498283185574
10,all,0.181456511937186
10,perm1,0.1522437808765697
10,perm2,0.15521488571620087
10,all,0.13363004581119758
10,perm1,0.21076801016445812
10,perm2,0.20310125986315203
10,all,0.18392605850857824
15,perm1,0.16360176891141825
15,perm2,0.22387895106066016
15,all,0.1517553636780088
15,perm1,0.16521116653892945
15,perm2,0.2267248417555652
15,all,0.16468376044501773
15,perm1,0.2501836371442651
15,perm2,0.20492527722122958
15,all,0.17946673978054542
15,perm1,0.17895854749462778
15,perm2,0.16852631474260527
15,all,0.14494778546260426
15,perm1,0.2125208027425806
15,perm2,0.200679036481606
15,all,0.18622842286426738
15,perm1,0.2006864123791631
15,perm2,0.17788287888555632
15,all,0.15991700295899072
15,perm1,0.16476376822214175
15,perm2,0.18631587936027458
15,all,0.1486801785876215
15,perm1,0.2336019385948644
15,perm2,0.21428180197227076
15,all,0.19606427014946803
15,perm1,0.30277602678882837
15,perm2,0.17814461367645468
15,all,0.1857153815487797
15,perm1,0.197783383700002
15,perm2,0.2296493716825371
15,all,0.1583240769213386
15,perm1,0.1972563990577645
15,perm2,0.16945735676994392
15,all,0.15869416399028646
15,perm1,0.23309719306939536
15,perm2,0.17025744707859758
15,all,0.18027888808862363
15,perm1,0.25376498564957267
15,perm2,0.19350466036696076
15,all,0.19324714732689635
15,perm1,0.24887985346653596
15,perm2,0.27467349853644857
15,all,0.22411825707440144
15,perm1,0.18981253579794236
15,perm2,0.2119022671593756
15,all,0.17557965846673254
15,perm1,0.3672843537033911
15,perm2,0.23458972396896594
15,all,0.2680519530687574
15,perm1,0.24672212065715804
15,perm2,0.25298069369845705
15,all,0.21401321702671094
15,perm1,0.19592879860222992
15,perm2,0.16810062909047574
15,all,0.15949001002472535
15,perm1,0.1981362822562123
15,perm2,0.19446055835333567
15,all,0.16722411396260045
15,perm1,0.21939629452639833
15,perm2,0.20594745035959158
15,all,0.177985170520211
15,perm1,0.21924135089852953
15,perm2,0.25628391908558706
15,all,0.20008389599610013
15,perm1,0.1918890898464733
15,perm2,0.183868035300049
15,all,0.16430137407040812
15,perm1,0.29415499515337146
15,perm2,0.31874689240387927
15,all,0.27277543252839787
15,perm1,0.21413060170763246
15,perm2,0.23639264049902867
15,all,0.19778904853082868
15,perm1,0.21497110977561484
15,perm2,0.28534072740217636
15,all,0.22261110406239787
15,perm1,0.2382537945522617
