B,R,c,method,risk
1,2,1,DR,0.152470405
1,2,1,ACW,0.174375599
1,2,1,COKE,0.139055541
1,2,1,SR,0.225311856
1,2,1,DR,0.128718662
1,2,1,ACW,0.137988231
1,2,1,COKE,0.10272933
1,2,1,SR,0.213493168
1,2,1,DR,0.124573473
1,2,1,ACW,0.142302305
1,2,1,COKE,0.097065505
1,2,1,SR,0.361839252
1,2,1,DR,0.166060439
1,2,1,ACW,0.17570965
1,2,1,COKE,0.12750787
1,2,1,SR,0.237358574
1,2,1,DR,0.136911632
1,2,1,ACW,0.163703368
1,2,1,COKE,0.119452611
1,2,1,SR,0.310048603
1,2,1,DR,0.117944459
1,2,1,ACW,0.149608933
1,2,1,COKE,0.125451626
1,2,1,SR,0.300981564
1,2,1,DR,0.142482346
1,2,1,ACW,0.137927295
1,2,1,COKE,0.119211255
1,2,1,SR,0.261010275
1,2,1,DR,0.128138964
1,2,1,ACW,0.134337725
1,2,1,COKE,0.12874536
1,2,1,SR,0.259960738
1,2,1,DR,0.149830648
1,2,1,ACW,0.155507941
1,2,1,COKE,0.109252361
1,2,1,SR,0.278416826
1,2,1,DR,0.117735038
1,2,1,ACW,0.180208804
1,2,1,COKE,0.11425501
1,2,1,SR,0.323120222
1,2,1,DR,0.142546142
1,2,1,ACW,0.172704175
1,2,1,COKE,0.117099556
1,2,1,SR,0.219765369
1,2,1,DR,0.16005908
1,2,1,ACW,0.172879601
1,2,1,COKE,0.10180138
1,2,1,SR,0.266508265
1,2,1,DR,0.1354581
1,2,1,ACW,0.148648177
1,2,1,COKE,0.104346462
1,2,1,SR,0.22851346
1,2,1,DR,0.141983115
1,2,1,ACW,0.152581123
1,2,1,COKE,0.112675352
1,2,1,SR,0.238040374
1,2,1,DR,0.158330542
1,2,1,ACW,0.170813065
1,2,1,COKE,0.114414421
1,2,1,SR,0.243318759
1,2,1,DR,0.166031533
1,2,1,ACW,0.177980628
1,2,1,COKE,0.129332196
1,2,1,SR,0.228839825
1,2,1,DR,0.125979099
1,2,1,ACW,0.183099177
1,2,1,COKE,0.113865715
1,2,1,SR,0.251305798
1,2,1,DR,0.127467524
1,2,1,ACW,0.184256173
1,2,1,COKE,0.135858712
1,2,1,SR,0.286398289
1,2,1,DR,0.161039898
1,2,1,ACW,0.175427821
1,2,1,COKE,0.128819873
1,2,1,SR,0.262640271
1,2,1,DR,0.198556962
1,2,1,ACW,0.280643737
1,2,1,COKE,0.122108808
1,2,1,SR,0.250688161
1,2,1,DR,0.155330213
1,2,1,ACW,0.159101005
1,2,1,COKE,0.130657996
1,2,1,SR,0.347154016
1,2,1,DR,0.154095142
1,2,1,ACW,0.159815949
1,2,1,COKE,0.131583012
1,2,1,SR,0.288874452
1,2,1,DR,0.163378254
1,2,1,ACW,0.158444167
1,2,1,COKE,0.143872558
1,2,1,SR,0.278121982
1,2,1,DR,0.167921819
1,2,1,ACW,0.165327329
1,2,1,COKE,0.114780236
1,2,1,SR,0.237129683
1,2,1,DR,0.15517757
1,2,1,ACW,0.197273963
1,2,1,COKE,0.111788029
1,2,1,SR,0.282261514
1,2,1,DR,0.131212429
1,2,1,ACW,0.104822728
1,2,1,COKE,0.123838426
1,2,1,SR,0.272957839
1,2,1,DR,0.166993612
1,2,1,ACW,0.209343077
1,2,1,COKE,0.116691153
1,2,1,SR,0.241942989
1,2,1,DR,0.133299653
1,2,1,ACW,0.161316885
1,2,1,COKE,0.121934209
1,2,1,SR,0.285013574
1,2,1,DR,0.210298426
1,2,1,ACW,0.20810075
1,2,1,COKE,0.111893095
1,2,1,SR,0.262917955
1,2,1,DR,0.203121927
1,2,1,ACW,0.191218385
1,2,1,COKE,0.107367637
1,2,1,SR,0.258532427
1,2,1,DR,0.118611036
1,2,1,ACW,0.157337904
1,2,1,COKE,0.118669951
1,2,1,SR,0.268215307
1,2,1,DR,0.161719292
1,2,1,ACW,0.150700973
