nt,method,risk
250,SR,0.521494198
250,DR,0.682180573
250,ACW,9.834101408
250,COKE,0.323157207
250,RLearner,0.755280269
250,SR,0.691916566
250,DR,0.383087395
250,ACW,52.92341139
250,COKE,0.204699844
250,RLearner,0.372750931
250,SR,0.499745968
250,DR,0.523086042
250,ACW,66.06974173
250,COKE,0.285181723
250,RLearner,0.366273655
250,SR,0.518617671
250,DR,0.408425772
250,ACW,4.224921005
250,COKE,0.365931025
250,RLearner,0.567536432
250,SR,0.371641257
250,DR,0.581147003
250,ACW,0.31398003
250,COKE,0.297319552
250,RLearner,0.321703728
250,SR,0.857019589
250,DR,0.452385741
250,ACW,0.525547643
250,COKE,0.280862943
250,RLearner,0.274731299
250,SR,0.570650433
250,DR,0.300238153
250,ACW,10.12148203
250,COKE,0.29916206
250,RLearner,0.369400882
250,SR,1.035211447
250,DR,0.368853514
250,ACW,2.526492813
250,COKE,0.409390967
250,RLearner,0.494532984
250,SR,0.53409261
250,DR,0.740597871
250,ACW,0.436924783
250,COKE,0.267146668
250,RLearner,0.268982101
250,SR,0.70636907
250,DR,0.291397143
250,ACW,3.180600051
250,COKE,0.286159221
250,RLearner,0.304587362
250,SR,0.492307877
250,DR,0.829676101
250,ACW,0.535696455
250,COKE,0.334693145
250,RLearner,0.672095483
250,SR,0.614469747
250,DR,0.416425667
250,ACW,2.037794617
250,COKE,0.265882268
250,RLearner,0.380511259
250,SR,0.632686997
250,DR,0.612601436
250,ACW,6.076781795
250,COKE,0.390589284
250,RLearner,0.500275444
250,SR,0.681531574
250,DR,0.323458686
250,ACW,9.484888739
250,COKE,0.423533707
250,RLearner,0.459760632
250,SR,0.821430021
250,DR,0.564146443
250,ACW,0.49258776
250,COKE,0.224707969
250,RLearner,0.346330421
250,SR,0.601265086
250,DR,0.491251673
250,ACW,8.398730131
250,COKE,0.442669268
250,RLearner,0.743231437
250,SR,0.907772664
250,DR,0.312738135
250,ACW,1.130220902
250,COKE,0.263187356
250,RLearner,0.71848379
250,SR,0.47106963
250,DR,0.36098944
250,ACW,5.445947752
250,COKE,0.290641847
250,RLearner,0.388667319
250,SR,0.329907819
250,DR,0.302366713
250,ACW,0.469490306
250,COKE,0.180160857
250,RLearner,0.275544651
250,SR,0.362374518
250,DR,0.728867444
250,ACW,0.528817452
250,COKE,0.314547552
250,RLearner,0.493629631
250,SR,0.369032295
250,DR,0.400302516
250,ACW,4.50775975
250,COKE,0.241901756
250,RLearner,0.431417338
250,SR,0.504938762
250,DR,0.397298528
250,ACW,1.851035902
250,COKE,0.291909907
250,RLearner,0.356303088
250,SR,0.813076033
250,DR,0.575283881
250,ACW,1.270140559
250,COKE,0.385208313
250,RLearner,0.419934116
250,SR,0.429837041
250,DR,0.589401269
250,ACW,4.972407355
250,COKE,0.211410174
250,RLearner,0.359031746
